is_Located_Outside_India,is_NCR,Counts_of_Restaurants_in_the_city,Average_Votes_per_Restaurant,Restaurants_in_city...5,Restaurants_in_city....25,Avg..daily.orders,Average_Cost_for_Two,Has_Table,Has_Online_Orders,Percentage.online.orders,Desserts,Café.Flag,is_Eco,is_Mid,is_High,Alcohol,Continental,Oriental,Oceanic,Asian,American,Café.Pub,Fast.Food,Desserts...Beverages,Latin.American,Arabic,International,Indian,Mediterranean,Health.Conscious,European,Votes_Value,isBad
1,0,0.003472222,0.001356239,0,1,0,0.0002392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.002800896,TRUE
1,0,0.003472222,0.000361664,0,1,0.32,0.000364,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000503018,TRUE
1,0,0.003472222,0.000406872,0,1,0.52,0.000052,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.00061734,TRUE
1,0,0.003472222,0.000316456,0,1,0.6,0.0001456,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.000533504,TRUE
1,0,0.003472222,0.001311031,0,1,0.92,0.0000936,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.00248651,TRUE
1,0,0.003472222,0.000858951,0,1,0.6,0.0000624,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.001737699,TRUE
1,0,0.003472222,0.001808318,0,1,0.72,0.000104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.003734528,TRUE
1,0,0.003472222,0.00221519,0,1,0.36,0.0001248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.004574797,TRUE
1,0,0.003472222,0.000949367,0,1,0.2,0.0001768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.001840589,TRUE
1,0,0.003472222,0.000632911,0,1,0.64,0.0000936,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.001147034,TRUE
1,0,0.003472222,0.00022604,0,1,0.36,0.000156,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000381074,TRUE
1,0,0.003472222,0.001130199,0,1,0.36,0.00026,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002191177,TRUE
1,0,0.003472222,0.000587703,0,1,0.84,0.0001248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.001089873,TRUE
1,0,0.003472222,0.000316456,0,1,0.52,0.0000416,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000560179,TRUE
1,0,0.003472222,0.000361664,0,1,0.64,0.00026,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000640205,TRUE
1,0,0.003472222,4.5208E-05,0,1,0.96,0.0000728,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,TRUE
1,0,0.003472222,0.00198915,0,1,0,0.000312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.003940309,TRUE
1,0,0.003472222,0.001084991,0,1,1,0.0000884,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.00210353,TRUE
1,0,0.003472222,0.00045208,0,1,0.88,0.0000832,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.00081931,TRUE
1,0,0.003472222,0.00221519,0,1,0.8,0.00026,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004201344,TRUE
1,0,0.003472222,0.000768535,0,1,1,0.00026,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.001425218,TRUE
1,0,0.003472222,0.00022604,0,1,0.52,0.0000728,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000295333,TRUE
1,0,0.003472222,0.000678119,0,1,0.68,0.000104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.001171804,TRUE
1,0,0.003472222,0.002667269,0,1,0.2,0.000312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.005396012,TRUE
1,0,0.003472222,0.001356239,0,1,0.48,0.0001248,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.002629413,TRUE
1,0,0.003472222,0,0,1,0.8,0.0000572,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,0,0.003472222,0.003300181,0,1,1,0.000208,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004729132,TRUE
1,0,0.003472222,0.000406872,0,1,0.76,0.0001248,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000600192,TRUE
1,0,0.003472222,0.00176311,0,1,0.48,0.000312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.003195308,TRUE
1,0,0.003472222,0.000542495,0,1,0.72,0.0002392,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000891714,TRUE
1,0,0.003472222,0.003074141,0,1,0.88,0.0001248,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.005571307,TRUE
1,0,0.003472222,0.002079566,0,1,0.04,0.000156,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.003768825,TRUE
1,0,0.003472222,0.001672694,0,1,0.92,0.000416,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003101945,TRUE
1,0,0.003472222,9.04159E-05,0,1,0.56,0.0000676,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,0,0.003472222,9.04159E-05,0,1,0.2,0.000052,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,0,0.003472222,0.000994575,0,1,0.84,0.000104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0018444,TRUE
1,0,0.003472222,0.002622061,0,1,0.52,0.0000728,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.005083531,TRUE
1,0,0.003472222,0.000497288,0,1,0.56,0.0001248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000859323,TRUE
1,0,0.003472222,0.001130199,0,1,0.32,0.0004,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.001571932,TRUE
1,0,0.003472222,0.001537071,0,1,0.12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220261,TRUE
1,0,0.003472222,0.002034358,0,1,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002915219,TRUE
1,0,0.003472222,0.001175407,0,1,0.08,0.0004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.001684349,TRUE
1,0,0.003472222,0.001627486,0,1,0.56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002332175,TRUE
1,0,0.003472222,0.003028933,0,1,0.2,0.0004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.004468096,TRUE
1,0,0.003472222,0.006374322,0,1,0.32,0.0004,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.010477639,TRUE
1,0,0.003472222,0.00664557,0,1,0.48,0.0025,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.010363316,TRUE
1,0,0.003472222,0.002305606,0,1,0.8,0.0196,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.003401088,TRUE
1,0,0.003472222,0.0039783,0,1,0.16,0.0025,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.006036217,TRUE
1,0,0.003472222,0.006916817,0,1,0.76,0.0004,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011077831,TRUE
1,0,0.003472222,0.007233273,0,1,0.32,0.0004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011889519,TRUE
1,0,0.003472222,0.002576854,0,1,0,0.0025,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.003801216,TRUE
1,0,0.003472222,0.002622061,0,1,0.76,0.0025,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003867904,TRUE
1,0,0.003472222,0.005198915,0,1,0.08,0.0064,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007888239,TRUE
1,0,0.003472222,0.002305606,0,1,0.48,0.0064,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003401088,TRUE
1,0,0.003472222,0.011301989,0,1,0.44,0.0064,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.01810103,FALSE
1,0,0.003472222,0.005289331,0,1,0.12,0.0004,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008248354,TRUE
1,0,0.003472222,0.000904159,0,1,0.8,0.0004,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.001295653,TRUE
1,0,0,0.022603978,1,0,0.04,0.0016,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0016672,TRUE
1,0,0.003472222,0.082323689,0,1,0.76,0.0064,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.156135678,FALSE
1,0,0.003472222,0.041455696,0,1,0.8,0.0004,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.080372386,FALSE
1,0,0.003472222,0.019846293,0,1,0.72,0.0004,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032621868,FALSE
1,0,0.003472222,0.013065099,0,1,0.56,0.0004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.020374139,FALSE
